Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
2 мин от метро. Евроремонт. Топ.;1-комн. квартира, 31 м?;Москва, ЦАО, р-н Таганский, Народная ул., 14С1;3 500 ?/сутки;4 из 4;31 м?;сегодня, 02:34;https://www.cian.ru/rent/flat/252811986/;['https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-4.jpg', 'https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-4.jpg', 'https://cdn-p.cian.site/images/71/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251719-2.jpg', 'https://cdn-p.cian.site/images/12/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051252151-2.jpg', 'https://cdn-p.cian.site/images/41/521/501/posutochnaja-kvartira-moskva-narodnaya-ulica-1051251417-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;1-комн. квартира, 38 м?;Москва, ЦАО, р-н Якиманка, ул. Большая Полянка, 30;3 290 ?/сутки;11 из 14;38 м?;сегодня, 16:16;https://www.cian.ru/rent/flat/219792391/;['https://cdn-p.cian.site/images/5/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735530-4.jpg', 'https://cdn-p.cian.site/images/5/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735530-4.jpg', 'https://cdn-p.cian.site/images/4/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735479-2.jpg', 'https://cdn-p.cian.site/images/4/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735495-2.jpg', 'https://cdn-p.cian.site/images/4/537/867/kvartira-moskva-ulica-bolshaya-polyanka-768735445-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
Версаче Апарты в 1 мин от метро;1-комн. апартаменты, 32 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 2;4 300 ?/сутки;8 из 12;32 м?;сегодня, 19:19;https://www.cian.ru/rent/flat/242931665/;['https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477951-4.jpg', 'https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477951-4.jpg', 'https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477954-2.jpg', 'https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477934-2.jpg', 'https://cdn-p.cian.site/images/9/774/089/posutochnaja-kvartira-moskva-hodynskiy-bulvar-980477929-2.jpg', 'https://www.cian.ru/avatar.axd?i=8512044&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;Студия, 40 м?;Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 24;3 190 ?/сутки;3 из 8;40 м?;сегодня, 16:11;https://www.cian.ru/rent/flat/214713152/;['https://cdn-p.cian.site/images/5/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780585-4.jpg', 'https://cdn-p.cian.site/images/5/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780585-4.jpg', 'https://cdn-p.cian.site/images/6/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780644-2.jpg', 'https://cdn-p.cian.site/images/6/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780615-2.jpg', 'https://cdn-p.cian.site/images/6/087/337/kvartira-moskva-tverskayayamskaya-1ya-ulica-733780670-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
СПА-апарт 54 в Москва Сити свидом;Апартаменты-студия, 32 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с2;9 500 ?/сутки;54 из 79;32 м?;сегодня, 17:46;https://www.cian.ru/rent/flat/252353183/;['https://cdn-p.cian.site/images/83/766/401/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1046673814-4.jpg', 'https://cdn-p.cian.site/images/83/766/401/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1046673814-4.jpg', 'https://cdn-p.cian.site/images/01/546/501/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1056451029-2.jpg', 'https://cdn-p.cian.site/images/83/766/401/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1046673812-2.jpg', 'https://cdn-p.cian.site/images/22/731/601/posutochnaja-kvartira-moskva-1y-krasnogvardeyskiy-proezd-1061372209-2.jpg']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;2-комн. квартира, 80 м?;Москва, ЦАО, р-н Таганский, ул. Земляной Вал, 52/16С1;4 390 ?/сутки;4 из 7;80 м?;сегодня, 16:17;https://www.cian.ru/rent/flat/163363950/;['https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231835-4.jpg', 'https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231835-4.jpg', 'https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231827-2.jpg', 'https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231825-2.jpg', 'https://cdn-p.cian.site/images/8/132/403/kvartira-moskva-ulica-zemlyanoy-val-304231818-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
Стильные апартаменты на Арбате!;2-комн. квартира, 60 м?;Москва, ЦАО, р-н Арбат, ул. Арбат, 31;4 900 ?/сутки;2 из 3;60 м?;сегодня, 05:49;https://www.cian.ru/rent/flat/204972772/;['https://cdn-p.cian.site/images/55/312/301/posutochnaja-kvartira-moskva-ulica-arbat-1032135500-4.jpg', 'https://cdn-p.cian.site/images/55/312/301/posutochnaja-kvartira-moskva-ulica-arbat-1032135500-4.jpg', 'https://cdn-p.cian.site/images/2/898/766/kvartira-moskva-ulica-arbat-667898270-2.jpg', 'https://cdn-p.cian.site/images/7/898/766/kvartira-moskva-ulica-arbat-667898766-2.jpg', 'https://cdn-p.cian.site/images/55/312/301/posutochnaja-kvartira-moskva-ulica-arbat-1032135504-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;1-комн. квартира, 35 м?;Москва, ЗАО, р-н Фили-Давыдково, Малая Филевская ул., 4К1;3 190 ?/сутки;3 из 5;35 м?;сегодня, 16:17;https://www.cian.ru/rent/flat/165298567/;['https://cdn-p.cian.site/images/0/546/328/kvartira-moskva-malaya-filevskaya-ulica-823645002-4.jpg', 'https://cdn-p.cian.site/images/0/546/328/kvartira-moskva-malaya-filevskaya-ulica-823645002-4.jpg', 'https://cdn-p.cian.site/images/0/546/328/kvartira-moskva-malaya-filevskaya-ulica-823645018-2.jpg', 'https://cdn-p.cian.site/images/9/446/328/kvartira-moskva-malaya-filevskaya-ulica-823644987-2.jpg', 'https://cdn-p.cian.site/images/9/446/328/kvartira-moskva-malaya-filevskaya-ulica-823644999-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
5 мин пешком от метро Маяковская;1-комн. квартира, 37 м?;Москва, ЦАО, р-н Тверской, 4-я Тверская-Ямская ул., 23;2 800 ?/сутки;5 из 7;37 м?;сегодня, 07:35;https://www.cian.ru/rent/flat/141462297/;['https://cdn-p.cian.site/images/4/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208444-4.jpg', 'https://cdn-p.cian.site/images/4/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208444-4.jpg', 'https://cdn-p.cian.site/images/4/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208420-2.jpg', 'https://cdn-p.cian.site/images/5/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208511-2.jpg', 'https://cdn-p.cian.site/images/2/802/102/kvartira-moskva-4ya-tverskayayamskaya-ulica-201208264-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;Студия, 34 м?;Москва, ЗАО, р-н Кунцево, Рублевское ш., 95К1;3 199 ?/сутки;14 из 22;34 м?;сегодня, 16:10;https://www.cian.ru/rent/flat/184196213/;['https://cdn-p.cian.site/images/5/425/185/kvartira-moskva-rublevskoe-shosse-581524522-4.jpg', 'https://cdn-p.cian.site/images/5/425/185/kvartira-moskva-rublevskoe-shosse-581524522-4.jpg', 'https://cdn-p.cian.site/images/5/425/185/kvartira-moskva-rublevskoe-shosse-581524520-2.jpg', 'https://cdn-p.cian.site/images/5/425/185/kvartira-moskva-rublevskoe-shosse-581524524-2.jpg', 'https://cdn-p.cian.site/images/5/425/185/kvartira-moskva-rublevskoe-shosse-581524516-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
СУПЕР-ЛОФТ! Двухуровневый! Люкс!;Апартаменты-студия, 21 м?;Москва, СВАО, р-н Марфино, Гостиничная ул., 10К5;1 978 ?/сутки;4 из 5;21 м?;сегодня, 05:17;https://www.cian.ru/rent/flat/246603680/;['https://cdn-p.cian.site/images/0/634/699/posutochnaja-kvartira-moskva-gostinichnaya-ulica-996436099-4.jpg', 'https://cdn-p.cian.site/images/0/634/699/posutochnaja-kvartira-moskva-gostinichnaya-ulica-996436099-4.jpg', 'https://cdn-p.cian.site/images/0/634/699/posutochnaja-kvartira-moskva-gostinichnaya-ulica-996436090-2.jpg', 'https://cdn-p.cian.site/images/1/634/699/posutochnaja-kvartira-moskva-gostinichnaya-ulica-996436105-2.jpg', 'https://cdn-p.cian.site/images/1/634/699/posutochnaja-kvartira-moskva-gostinichnaya-ulica-996436100-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
1-комн. кв., 35 м?, 4/4 этаж;1-комн. квартира, 35 м?;Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23К7;2 300 ?/сутки;4 из 4;35 м?;сегодня, 18:26;https://www.cian.ru/rent/flat/253654548/;['https://cdn-p.cian.site/images/98/264/601/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1064628924-4.jpg', 'https://cdn-p.cian.site/images/98/264/601/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1064628924-4.jpg', 'https://cdn-p.cian.site/images/98/264/601/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1064628921-2.jpg', 'https://cdn-p.cian.site/images/98/264/601/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1064628922-2.jpg', 'https://cdn-p.cian.site/images/98/264/601/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1064628915-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
1-комн. кв., 26 м?, 7/16 этаж;1-комн. квартира, 26 м?;Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2К1;2 000 ?/сутки;7 из 16;26 м?;сегодня, 07:46;https://www.cian.ru/rent/flat/252255197/;['https://cdn-p.cian.site/images/95/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046005960-4.jpg', 'https://cdn-p.cian.site/images/95/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046005960-4.jpg', 'https://cdn-p.cian.site/images/95/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046005954-2.jpg', 'https://cdn-p.cian.site/images/95/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046005959-2.jpg', 'https://cdn-p.cian.site/images/95/006/401/posutochnaja-kvartira-moskva-altufevskoe-shosse-1046005965-2.jpg', 'https://www.cian.ru/avatar.axd?i=26198469&t=2&p=2']
;;;;;;;;
Апартаменты в Сталинской высотке!;2-комн. квартира, 61,9 м?;Москва, ЦАО, р-н Пресненский, Кудринская пл., 1;4 500 ?/сутки;3 из 31;61,9 м?;сегодня, 11:56;https://www.cian.ru/rent/flat/201060517/;['https://cdn-p.cian.site/images/39/312/301/posutochnaja-kvartira-moskva-kudrinskaya-ploshcad-1032139305-4.jpg', 'https://cdn-p.cian.site/images/39/312/301/posutochnaja-kvartira-moskva-kudrinskaya-ploshcad-1032139305-4.jpg', 'https://cdn-p.cian.site/images/78/312/301/posutochnaja-kvartira-moskva-kudrinskaya-ploshcad-1032138784-2.jpg', 'https://cdn-p.cian.site/images/4/553/536/kvartira-moskva-kudrinskaya-ploshcad-635355449-2.jpg', 'https://cdn-p.cian.site/images/5/353/536/kvartira-moskva-kudrinskaya-ploshcad-635353520-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Трешка в тихом районе Москвы;3-комн. квартира, 80 м?;Москва, ЦАО, р-н Пресненский, Леонтьевский пер., 6С2;5 300 ?/сутки;1 из 5;80 м?;сегодня, 06:40;https://www.cian.ru/rent/flat/231005881/;['https://cdn-p.cian.site/images/9/473/449/kvartira-moskva-leontevskiy-pereulok-944374961-4.jpg', 'https://cdn-p.cian.site/images/9/473/449/kvartira-moskva-leontevskiy-pereulok-944374961-4.jpg', 'https://cdn-p.cian.site/images/6/573/449/kvartira-moskva-leontevskiy-pereulok-944375699-2.jpg', 'https://cdn-p.cian.site/images/2/542/968/kvartira-moskva-leontevskiy-pereulok-869245245-2.jpg', 'https://cdn-p.cian.site/images/3/673/449/kvartira-moskva-leontevskiy-pereulok-944376303-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Посуточно! 130 районов -Москва !;1-комн. квартира, 40 м?;Москва, ЦАО, р-н Пресненский, Большая Грузинская ул., 16;3 000 ?/сутки;2 из 14;40 м?;сегодня, 13:46;https://www.cian.ru/rent/flat/177724720/;['https://cdn-p.cian.site/images/7/250/354/kvartira-moskva-bolshaya-gruzinskaya-ulica-453052768-4.jpg', 'https://cdn-p.cian.site/images/7/250/354/kvartira-moskva-bolshaya-gruzinskaya-ulica-453052768-4.jpg', 'https://cdn-p.cian.site/images/7/250/354/kvartira-moskva-bolshaya-gruzinskaya-ulica-453052754-2.jpg', 'https://cdn-p.cian.site/images/7/250/354/kvartira-moskva-bolshaya-gruzinskaya-ulica-453052770-2.jpg', 'https://cdn-p.cian.site/images/7/250/354/kvartira-moskva-bolshaya-gruzinskaya-ulica-453052766-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
Дом у метро;1-комн. квартира, 40 м?;Москва, ЦАО, р-н Мещанский, ул. Гиляровского, 33;3 300 ?/сутки;10 из 12;40 м?;сегодня, 13:02;https://www.cian.ru/rent/flat/222989948/;['https://cdn-p.cian.site/images/0/639/797/kvartira-moskva-ulica-gilyarovskogo-797936097-4.jpg', 'https://cdn-p.cian.site/images/0/639/797/kvartira-moskva-ulica-gilyarovskogo-797936097-4.jpg', 'https://cdn-p.cian.site/images/0/639/797/kvartira-moskva-ulica-gilyarovskogo-797936094-2.jpg', 'https://cdn-p.cian.site/images/0/639/797/kvartira-moskva-ulica-gilyarovskogo-797936093-2.jpg', 'https://cdn-p.cian.site/images/0/639/797/kvartira-moskva-ulica-gilyarovskogo-797936095-2.jpg', 'https://www.cian.ru/avatar.axd?i=138163&t=2&p=2']
;;;;;;;;
Лучшее предложение!Рядом с метро!;1-комн. квартира, 37,5 м?;Москва, ЮАО, р-н Орехово-Борисово Южное, Воронежская ул., 18;2 000 ?/сутки;3 из 9;37,5 м?;сегодня, 07:37;https://www.cian.ru/rent/flat/34496989/;['https://cdn-p.cian.site/images/4/734/248/kvartira-moskva-voronezhskaya-ulica-842437419-4.jpg', 'https://cdn-p.cian.site/images/4/734/248/kvartira-moskva-voronezhskaya-ulica-842437419-4.jpg', 'https://cdn-p.cian.site/images/4/734/248/kvartira-moskva-voronezhskaya-ulica-842437418-2.jpg', 'https://cdn-p.cian.site/images/4/734/248/kvartira-moskva-voronezhskaya-ulica-842437417-2.jpg', 'https://cdn-p.cian.site/images/3/734/248/kvartira-moskva-voronezhskaya-ulica-842437385-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей в сутки *;1-комн. квартира, 40 м?;Москва, ЮАО, р-н Орехово-Борисово Северное, Ореховый бул., 7К1;2 900 ?/сутки;3 из 9;40 м?;сегодня, 04:09;https://www.cian.ru/rent/flat/222173942/;['https://cdn-p.cian.site/images/3/738/208/kvartira-moskva-orehovyy-bulvar-802837356-4.jpg', 'https://cdn-p.cian.site/images/3/738/208/kvartira-moskva-orehovyy-bulvar-802837356-4.jpg', 'https://cdn-p.cian.site/images/3/738/208/kvartira-moskva-orehovyy-bulvar-802837360-2.jpg', 'https://cdn-p.cian.site/images/3/738/208/kvartira-moskva-orehovyy-bulvar-802837352-2.jpg', 'https://cdn-p.cian.site/images/3/738/208/kvartira-moskva-orehovyy-bulvar-802837361-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;2-комн. квартира, 67 м?;Москва, ЦАО, р-н Пресненский, Дружинниковская ул., 11/2;4 099 ?/сутки;8 из 8;67 м?;сегодня, 16:19;https://www.cian.ru/rent/flat/202547963/;['https://cdn-p.cian.site/images/3/216/328/kvartira-moskva-druzhinnikovskaya-ulica-823612391-4.jpg', 'https://cdn-p.cian.site/images/3/216/328/kvartira-moskva-druzhinnikovskaya-ulica-823612391-4.jpg', 'https://cdn-p.cian.site/images/5/216/328/kvartira-moskva-druzhinnikovskaya-ulica-823612558-2.jpg', 'https://cdn-p.cian.site/images/5/216/328/kvartira-moskva-druzhinnikovskaya-ulica-823612593-2.jpg', 'https://cdn-p.cian.site/images/2/516/328/kvartira-moskva-druzhinnikovskaya-ulica-823615292-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 40 м?;Москва, ЦАО, р-н Тверской, Садовая-Самотечная ул., 5к2;3 500 ?/сутки;1 из 8;40 м?;сегодня, 19:16;https://www.cian.ru/rent/flat/245773845/;['https://cdn-p.cian.site/images/2/142/989/posutochnaja-kvartira-moskva-sadovayasamotechnaya-ulica-989241221-4.jpg', 'https://cdn-p.cian.site/images/2/142/989/posutochnaja-kvartira-moskva-sadovayasamotechnaya-ulica-989241221-4.jpg', 'https://cdn-p.cian.site/images/1/142/989/posutochnaja-kvartira-moskva-sadovayasamotechnaya-ulica-989241192-2.jpg', 'https://cdn-p.cian.site/images/2/142/989/posutochnaja-kvartira-moskva-sadovayasamotechnaya-ulica-989241210-2.jpg', 'https://cdn-p.cian.site/images/1/142/989/posutochnaja-kvartira-moskva-sadovayasamotechnaya-ulica-989241158-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Свободна на НГ!!!  Спеццена!;2-комн. квартира, 50 м?;Москва, ЦАО, р-н Пресненский, Васильевская ул., 4;4 200 ?/сутки;2 из 9;50 м?;сегодня, 09:40;https://www.cian.ru/rent/flat/233708358/;['https://cdn-p.cian.site/images/1/532/198/kvartira-moskva-vasilevskaya-ulica-891235146-4.jpg', 'https://cdn-p.cian.site/images/1/532/198/kvartira-moskva-vasilevskaya-ulica-891235146-4.jpg', 'https://cdn-p.cian.site/images/1/532/198/kvartira-moskva-vasilevskaya-ulica-891235147-2.jpg', 'https://cdn-p.cian.site/images/1/532/198/kvartira-moskva-vasilevskaya-ulica-891235152-2.jpg', 'https://cdn-p.cian.site/images/1/532/198/kvartira-moskva-vasilevskaya-ulica-891235151-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;2-комн. квартира, 60 м?;Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 28;4 299 ?/сутки;3 из 9;60 м?;сегодня, 07:31;https://www.cian.ru/rent/flat/166376606/;['https://cdn-p.cian.site/images/8/228/063/kvartira-moskva-tverskayayamskaya-1ya-ulica-360822873-4.jpg', 'https://cdn-p.cian.site/images/8/228/063/kvartira-moskva-tverskayayamskaya-1ya-ulica-360822873-4.jpg', 'https://cdn-p.cian.site/images/3/726/328/kvartira-moskva-tverskayayamskaya-1ya-ulica-823627318-2.jpg', 'https://cdn-p.cian.site/images/3/726/328/kvartira-moskva-tverskayayamskaya-1ya-ulica-823627329-2.jpg', 'https://cdn-p.cian.site/images/3/726/328/kvartira-moskva-tverskayayamskaya-1ya-ulica-823627322-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
3-комн. апарт., 65 м?, 2/5 этаж;3-комн. апартаменты, 65 м?;Москва, САО, р-н Аэропорт, ул. Константина Симонова, 5К2;3 900 ?/сутки;2 из 5;65 м?;сегодня, 09:04;https://www.cian.ru/rent/flat/168973923/;['https://cdn-p.cian.site/images/0/252/704/kvartira-moskva-ulica-konstantina-simonova-407252089-4.jpg', 'https://cdn-p.cian.site/images/0/252/704/kvartira-moskva-ulica-konstantina-simonova-407252089-4.jpg', 'https://cdn-p.cian.site/images/9/152/704/kvartira-moskva-ulica-konstantina-simonova-407251996-2.jpg', 'https://cdn-p.cian.site/images/9/152/704/kvartira-moskva-ulica-konstantina-simonova-407251991-2.jpg', 'https://cdn-p.cian.site/images/9/152/704/kvartira-moskva-ulica-konstantina-simonova-407251998-2.jpg', 'https://www.cian.ru/avatar.axd?i=209282&t=2&p=2']
;;;;;;;;
Квартира Свободна. ТОП! Звони!;3-комн. квартира, 80 м?;Москва, ЦАО, р-н Красносельский, 1-й Басманный пер., 5/20С3;4 500 ?/сутки;2 из 5;80 м?;сегодня, 12:03;https://www.cian.ru/rent/flat/163609356/;['https://cdn-p.cian.site/images/2/110/846/kvartira-moskva-1y-basmannyy-pereulok-648011208-4.jpg', 'https://cdn-p.cian.site/images/2/110/846/kvartira-moskva-1y-basmannyy-pereulok-648011208-4.jpg', 'https://cdn-p.cian.site/images/1/110/846/kvartira-moskva-1y-basmannyy-pereulok-648011179-2.jpg', 'https://cdn-p.cian.site/images/1/110/846/kvartira-moskva-1y-basmannyy-pereulok-648011185-2.jpg', 'https://cdn-p.cian.site/images/1/110/846/kvartira-moskva-1y-basmannyy-pereulok-648011182-2.jpg', 'https://www.cian.ru/avatar.axd?i=115249&t=2&p=2']
;;;;;;;;
Роскошный пентхаус на 64м этаже;2-комн. апартаменты, 100 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2;23 000 ?/сутки;64 из 86;100 м?;сегодня, 15:26;https://www.cian.ru/rent/flat/166717543/;['https://cdn-p.cian.site/images/1/380/763/kvartira-moskva-1y-krasnogvardeyskiy-proezd-367083140-4.jpg', 'https://cdn-p.cian.site/images/1/380/763/kvartira-moskva-1y-krasnogvardeyskiy-proezd-367083140-4.jpg', 'https://cdn-p.cian.site/images/1/380/763/kvartira-moskva-1y-krasnogvardeyskiy-proezd-367083124-2.jpg', 'https://cdn-p.cian.site/images/0/380/763/kvartira-moskva-1y-krasnogvardeyskiy-proezd-367083083-2.jpg', 'https://cdn-p.cian.site/images/0/380/763/kvartira-moskva-1y-krasnogvardeyskiy-proezd-367083073-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
